"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Document Type","Publication Stage","Open Access","Source","EID"
"Alvarracin J.E.P.; Chérrez T.M.V.; Cárdenas N.A.R.; Crepo J.D.O.","Alvarracin, Jessica Estefania Pañora (57659589900); Chérrez, Tania Maricela Villarreal (57660222000); Cárdenas, Narciza Azucena Reyes (57216461174); Crepo, Juan Diego Ochoa (57219057067)","57659589900; 57660222000; 57216461174; 57219057067","Impact Intelligent systems to measure the impact of environmental auditing in slaughterhouse companies; [Sistemas inteligentes para medir el impacto de la Auditoría Ambiental en las Empresas de Rastro]","2022","RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao","2022","E48","","423","436","13","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129336472&partnerID=40&md5=99860d9f20d8d06f6b411661f17c4662","This article is adapted to the investigation of studies in relation to the impact of environmental auditing in trace companies, from the theoretical conception and the substantial analysis, with respect to the articulation of bibliographic review of other authors. The investigative reference presents the role of auditing as a supervisory means through control actions on the environmental impacts that affect the ecosystem and society, in this sense it was linked to the determination of the main factors that cause environmental damage caused by the activity and procedures for slaughter of cattle, from that perspective, methods of valuation scheme were established that determine the impacts to the Pacha Mama, by which it was based on the public legislation applicable to the operations that intervene in said process, as a reference it was carried out A comparison of environmental criteria between Ecuador and Mexico. © 2022, Associacao Iberica de Sistemas e Tecnologias de Informacao. All rights reserved.","Audit; environmental impact; procedure; slaughter","","","","Article","Final","","Scopus","2-s2.0-85129336472"
"Cordero D.; Rodriguez G.","Cordero, Diego (57789078800); Rodriguez, Guillermo (57207471992)","57789078800; 57207471992","Merger of Network Graph Indicators to Estimate Resilience in Latin American Cities","2022","IEEE Access","10","","","81071","81093","22","3","10.1109/ACCESS.2022.3195894","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135759295&doi=10.1109%2fACCESS.2022.3195894&partnerID=40&md5=860b39d847eb743f163e1602fae72604","In Latin America, cities are characterized by uncontrolled urban growth and locations in critical geographic areas. This factor affects an individual's ability to react efficiently to an action known as resilience to disasters caused by natural phenomena or catastrophes that involve human participation. This study proposes a method for detecting vulnerabilities in urban road systems in large, intermediate, and small cities in Latin America, so that resilience can be better supported. Depending on the structural characteristics of a city, measurement techniques can be used to combine the topological, geographic, and spatiotemporal indicators. Several measurements, such as mesh and connectivity, betweenness centrality, closeness centrality, robustness of networks with interruption attacks, location of dead ends, measurement of travel times between origin and destination, elevations and fusion of indicators with clusters on the same map, were applied using network graphs from OpenStreetMap (OSM) to estimate the resilience of road networks. The results are exposed to clusters of fused geospatial maps, which show that intersections and streets tend to be classified as vulnerable, with morphological structures of growth, resistance to degradation of the urban network, marginal urban sectors with high conglomeration, and mobility. The results highlight the importance of applying resilient practices in the region and generating urban management options to strengthen the response capacity of cities in Latin America. © 2013 IEEE.","indicator fusion; Resilience; road networks","Disasters; MESH networking; Motor transportation; Travel time; Urban growth; Geographic areas; Indicator fusion; Latin America; Latin americans; Networks/graphs; Resilience; Road; Road network; Urban areas; Roads and streets","Universidad Católica de Cuenca, (2022/231)","This work was supported by the Universidad Católica de Cuenca under Grant 2022/231.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85135759295"
"Quevedo S.; Domingez F.; Pelaez E.","Quevedo, Sebastian (57215834187); Domingez, Federico (8338734700); Pelaez, Enrique (57350001200)","57215834187; 8338734700; 57350001200","Detection of Pathologies in X-Ray Chest Images using a Deep Convolutional Neural Network with Appropriate Data Augmentation Techniques","2022","2022 IEEE ANDESCON: Technology and Innovation for Andean Industry, ANDESCON 2022","","","","","","","4","10.1109/ANDESCON56260.2022.9989746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146434223&doi=10.1109%2fANDESCON56260.2022.9989746&partnerID=40&md5=6969b1f15c056752b3d55043cdff6d94","Current advances in trained Deep Learning models have allowed architectures, such as Convolutional Neural Networks to outperformed radiologists in developing complex tasks, including detecting pathologies in chest X-ray images. To train these detection models, labeled data sets for identifying pathologies and its bounding box are necessary. However, most available datasets in the scientific community contain the classification labels only, and those with the bounding boxes need to be cleaned and analyzed. In this work, we propose a cleaning methodology and data augmentation techniques that could help perform efficient training procedures, in particular for pathology detection models in chest X-ray images. We found that using these approaches, the models' training Mean Average Precision (mAP) reached 0.93.  © 2022 IEEE.","Convolutional Neural Network; Data Augmentation; Data cleaning; Deep learning; Pathology Detection","Classification (of information); Computer vision; Convolution; Convolutional neural networks; Deep neural networks; Learning systems; Medical imaging; Augmentation techniques; Bounding-box; Chest image; Chest X-ray image; Convolutional neural network; Data augmentation; Data cleaning; Deep learning; Detection models; Pathologies detections; Pathology","Secretaría de Educación Superior, Ciencia, Tecnología e Innovación, SENESCYT","ACKNOWLEDGMENT The authors thanks CIITT Universidad Católica de Cuenca for sharing the server infrastructure used for training and testing the models. The first author has been supported by Ecuador government under a SENESCYT scholarship.","Conference paper","Final","","Scopus","2-s2.0-85146434223"
"Batyha R.M.; Janani S.; Rose S.G.H.; Lolandes Y.G.; Ortiz G.G.R.; Navaz S.","Batyha, Radwan M. (57222625687); Janani, S. (57076414100); Rose, S.G. Hymlin (57197501408); Lolandes, Yanina Gallardo (57216855941); Ortiz, Geovanny Genaro Reivan (57210186859); Navaz, Shahista (58085031800)","57222625687; 57076414100; 57197501408; 57216855941; 57210186859; 58085031800","Cyclostationary Algorithm for Signal Analysis in Cognitive 4G Networks with Spectral Sensing and Resource Allocation","2022","International Journal of Communication Networks and Information Security","14","3","","47","58","11","4","10.17762/ijcnis.v14i3.5570","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147153976&doi=10.17762%2fijcnis.v14i3.5570&partnerID=40&md5=7dae995a2fb993ef0cdfad334e6c5b87","Cognitive Radio (CR) effectively involved in the management of spectrum to perform improved data transmission. CR system actively engaged in the data sensing, learning and dynamic adjustment of radio spectrum parameters with management of unused spectrum in the signal. The spectrum sensing is indispensable in the CR for the management of Primary Users (PUs) and Secondary users (SUs) without any interference. Spectrum sensing is considered as the effective adaptive signal processing model to evaluate the computational complexity model for the signal transmission through Matched filtering, Waveform and Cyclostationary based Energy sensing model. Cyclostationary based model is effective for the energy based sensing model based on unique characteristics with estimation of available channel in the spectrum to extract the received signal in the PU signal. Cyclostationary based model uses the spectrum availability without any periodic property to extract the noise features. This paper developed a Adaptive Cross Score Cyclostationary (ACSCS) to evaluate the spectrum sensing in the CR network. The developed ACSCS model uses the computational complexity with estimation of Signal-to-Interference-and-Noise Ratio (SINR) elimination of cost function. ACSCS model uses the Adaptive Least square Spectral Self-Coherence Restoral (SCORE) with the Adaptive Cross Score (ACS) to overcome the issues in CR. With the derived ACSCS algorithm minimizes the computational complexity based on cost function compared with the ACS algorithm. To minimize the computational complexity pipeline triangular array based Gram-Schmidt Orthogonalization (GSO) structure for the optimization of network. The simulation performance analysis with the ACSCS scheme uses the Rician Multipath Fading channel to estimate detection probability to sense the Receiver Operating Characteristics, detection probability and probability of false alarm using Maximum Likelihood (ML) detector. The ACSC model uses the Square-law combining (SLC) with the moment generation function in the multipath fading channel for the channel sensing with reduced computational complexity. The simulation analysis expressed that ACSC scheme achieves the maximal detection probability value of 1. The analysis expressed that proposed ACSC scheme achieves the improved channel estimation in the 4G communication environment. © 2022 Kohat University of Science and Technology. All rights reserved.","Cyclostationary algorithm; Gram-Schmidt Orthogonalization (GSO); Multipath Fading; Probability of Detection; Signal-to-Interference-and-Noise Ratio","","","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85147153976"
"Pesántez-Cabrera P.C.","Pesántez-Cabrera, Pamela C. (57219055979)","57219055979","Land Movement Detection from UAV Images for a Sustainable World","2024","International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives","48-2-2024","","","335","340","5","0","10.5194/isprs-archives-XLVIII-2-2024-335-2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197355372&doi=10.5194%2fisprs-archives-XLVIII-2-2024-335-2024&partnerID=40&md5=ea30cb0c142106bffda19e0afe715790","In Reina del Cisne (Cuenca-Ecuador), a dynamic sliding process occurred due to a cut made at the beginning of 2018 on the hillside without technical considerations for the construction of an access road to a house in the sector. From January 2019 to June 2019, the period analyzed in this work, the landslide caused complete structural damage to dwellings near the hillside and partial damage to houses farther away. It also led to the total collapse of the path that initiated the landslide. Field visits and comparisons using CloudCompare of point clouds obtained from UAV flights between January 2019 and June 2019 highlighted the high activity of this landslide. The analysis demonstrates the effectiveness of this technique for early detection of landslides, enabling timely warnings for inhabitants to take immediate measures to avoid disasters. © Author(s) 2024.","Land movement; Landslide; Photogrammetry; Sustainable; UAV images","Aircraft detection; Disaster prevention; Structural analysis; Unmanned aerial vehicles (UAV); Access roads; Dynamic sliding; Ecuador; Land movement; Movement detection; Sliding process; Structural damages; Sustainable; Total collapse; UAV image; Landslides","Universidad de Cuenca Energy Center","The author wishes to thank Universidad de Cuenca Energy Center and the Topography Laboratory for the loan of the terrestrial laser scanner.","Conference paper","Final","","Scopus","2-s2.0-85197355372"
"Cordero D.; Icaza D.; Borsic Z.; Del Pilar Tamayo A.","Cordero, Diego (57789078800); Icaza, Daniel (57193059185); Borsic, Zlata (57344640600); Del Pilar Tamayo, Aracely (57345555100)","57789078800; 57193059185; 57344640600; 57345555100","Green Energy for Nodes of Hybrid Fiber-Coaxial Networks in the Transmission and Distribution of Signals to the End Customer","2022","Smart Innovation, Systems and Technologies","255","","","105","116","11","0","10.1007/978-981-16-4884-7_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119363057&doi=10.1007%2f978-981-16-4884-7_9&partnerID=40&md5=3248c9bcb100512cab512b26e91ba775","This manuscript presents a scheme of use of the energy supply by renewable systems, which has gained great importance. Particularly in this research, these inexhaustible sources that form hybrid systems combining wind and photovoltaic power applied to telecommunications networks are considered. It is important that the Hybrid Fiber-Coaxial (HFC) nodes and the equipment adjacent to the networks have sufficient and above all permanent energy to transmit and at the same time distribute the signals to the end customer in terms of data, voice and image. The use of renewable energy is interesting, with connectivity to the conventional distribution network, to dispose continuous quality service. The research presents the fundamental principles for the emphasis on the use of renewable energy and helps to identify opportunities in the relationship between renewable energy and telecommunications. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","HFC networks; Photovoltaic; Renewable energy; Wind turbines","Hybrid systems; Photovoltaic cells; End customers; Energy supplies; Green energy; Hybrid fibercoaxial networks (HFC); Photovoltaic power; Photovoltaics; Renewable energies; Telecommunications networks; Transmission and distribution; Use of renewable energies; Wind turbines","","","Conference paper","Final","","Scopus","2-s2.0-85119363057"
"Arteaga-Alcívar Y.; Guaña-Moya J.; Begnini-Domínguez L.; Cabrera-Córdova M.F.; Sánchez-Cali F.; Moya-Carrera Y.","Arteaga-Alcívar, Yamileth (57817198400); Guaña-Moya, Javier (57201853412); Begnini-Domínguez, Lucía (57817064500); Cabrera-Córdova, María Fernanda (7102307681); Sánchez-Cali, Fanny (58246847800); Moya-Carrera, Yolanda (58247679300)","57817198400; 57201853412; 57817064500; 7102307681; 58246847800; 58247679300","Integration of technology with education; [Integración de la tecnología con la educación]","2022","RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao","2022","E54","","182","193","11","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159203706&partnerID=40&md5=d9a3398be7cb97803221f6d64bb5776f","The constant technological development has made available a series of resources that have become vital tools, used in almost all professional fields and especially in the educational area that provides teachers with a valuable means to support teaching and learning. However, the process of integrating technology in education is affected by a series of factors that have been the subject of multiple studies, representing the reform of teacher training and professional development as a potential response to the barriers that hinder this process. The objective of this bibliographic review is to determine the internal and external barriers that hinder the process of technological integration, to analyze the approaches proposed by various authors to overcome these difficulties as well as to define some basic terms involved that allow expanding and understanding the way in which it can be produce the successful coupling of technology with the educational process. © 2022, Associacao Iberica de Sistemas e Tecnologias de Informacao. All rights reserved.","education; technological integration; Technology","","","","Article","Final","","Scopus","2-s2.0-85159203706"
"Mata-Quevedo J.P.; Verdugo-Ormaza D.E.; Rojas-Coronel J.E.; Serpa-Andrade L.; Gonzalez-Gonzalez S.","Mata-Quevedo, Jean P. (57218294952); Verdugo-Ormaza, Diego E. (58660015700); Rojas-Coronel, Jaime E. (57218294029); Serpa-Andrade, Luis (57202498037); Gonzalez-Gonzalez, Sandro (57204943006)","57218294952; 58660015700; 57218294029; 57202498037; 57204943006","Wind Characterization for Energy Production. Case Study: Huascachaca Mines—Ecuador","2024","Lecture Notes in Networks and Systems","695 LNNS","","","681","693","12","0","10.1007/978-981-99-3043-2_55","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174689452&doi=10.1007%2f978-981-99-3043-2_55&partnerID=40&md5=7caba089e6fcabfd50993745bb77aaaa","In the last few years, Ecuador has been developing changes in the use and harnessing of energetic resources, mainly due to the greenhouse gasses emission that cause damage to the climate system and also the depletion of oil. Since 2007, the change in the energy matrix seeks to reduce the consumption of fossil fuels and migrate toward clean alternative energies that reduce environmental pollution. The purpose of the following work is to develop a characterization of the wind of Huascachaca, province of Loja, by using data obtained from a meteorological tower on the site to determine the incidence of the wind, then with the help of the software Windographer, the wind characterization is modeled and dynamized to finally estimate the optimal turbine. © 2024, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Characterization; Energy; Generation; Renewable; Wind","Energy management; Renewable energy resources; Case-studies; Characterization; Climate system; Ecuador; Energetic resources; Energy; Energy matrix; Energy productions; Generation; Renewable; Fossil fuels","Electro Generadora del Austro","Thanks to the company Electro Generadora del Austro ELECAUSTRO S.A for its contribution to this article by submitting the data for analysis.","Conference paper","Final","","Scopus","2-s2.0-85174689452"
"Aguirre Ullauri M.C.; Torres-Quezada J.; López Suscal M.","Aguirre Ullauri, María del Cisne (57204931863); Torres-Quezada, Jefferson (57206671310); López Suscal, Michelle (58103175400)","57204931863; 57206671310; 58103175400","State of conservation analysis of the Elliptical Wall of the Temple of the Sun in Ingapirca (Ecuador) and its relationship with climate conditions","2023","Heritage Science","11","1","60","","","","0","10.1186/s40494-023-00899-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150940795&doi=10.1186%2fs40494-023-00899-3&partnerID=40&md5=e3b69d88f1947248e67f33efd6163f25","The conservation of cultural heritage in Ecuador is an increasingly complex task, evident for several centuries in the Ingapirca Archaeological Complex and particularly in the Elliptical Wall of the Temple of the Sun. Given the weathering, intensified by its geographic location, this monument presents a high level of deterioration despite much previous research and the execution of conservation actions. Therefore, this research proposes a comprehensive study that relates the deterioration processes of the Elliptical Wall and the climate conditions where it is located. The method of wall stratigraphic reading has been used, complemented by an analysis of condensation and solar gain. The results show that the building comprises nine phases, four in common for all the orientations from 700 AD, which define the property's authenticity, and five characterized by diverse interventions. At least 38 construction, reconstruction, and maintenance activities have been identified in 9 historical-construction phases and ten degradation phases. In addition, all the orientations of the Elliptical Wall reach the dew point at night, given the relative humidity and air temperature levels in the study region. The southern orientation stands out as the surface with the highest frequency of condensation, the lowest solar gain, and the highest percentage of affections. Thus, this study supports that the deterioration of this building has a high correlation with its condensation capacity, which intensifies or reduces depending on the levels of solar capture; the monument will continue to be transformed and even eliminate historic strata due to the irreversible deterioration in different sectors and the current difficulties in mitigating it. © 2023, The Author(s).","Condensation; Elliptical wall; Heritage damage; Historical–constructive analysis; Ingapirca Sun Temple; Solar radiation","","Biodeterioro del Complejo Arqueológico Ingapirca; INPC; Instituto Nacional de Patrimonio Cultural; Universidad Católica de Cuenca, UCACUE, (PICCIITT19-21)","Funding text 1: This study was funded by the Universidad Católica de Cuenca within the research project No. PICCIITT19-21 called Biodeterioration of the Ingapirca Archaeological Complex: microbiology and lichenology of stone substrates (Biodeterioro del Complejo Arqueológico Ingapirca; microbiología y liquenología de sustratos pétreos, in Spanish). Furthermore, special thanks to the INPC for supporting fieldwork logistics. Also, the authors would like to thank the Universidad Católica de Cuenca (Ecuador) and the Instituto Nacional de Patrimonio Cultural (Ecuador) for giving the facilities for data acquisition y providing bibliographic information.; Funding text 2: This study was funded by the Universidad Católica de Cuenca within the research project No. PICCIITT19-21 called Biodeterioration of the Ingapirca Archaeological Complex: microbiology and lichenology of stone substrates (Biodeterioro del Complejo Arqueológico Ingapirca; microbiología y liquenología de sustratos pétreos, in Spanish). Furthermore, special thanks to the INPC for supporting fieldwork logistics. Also, the authors would like to thank the Universidad Católica de Cuenca (Ecuador) and the Instituto Nacional de Patrimonio Cultural (Ecuador) for giving the facilities for data acquisition y providing bibliographic information. ","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85150940795"
"Mata-Quevedo J.P.; Romero-Gonzalez R.; Quevedo-Sacoto S.; Gonzalez-Gonzalez S.; Serpa-Andrade L.","Mata-Quevedo, Jean P. (57218294952); Romero-Gonzalez, Ricardo (58660195000); Quevedo-Sacoto, Sebastian (57215834187); Gonzalez-Gonzalez, Sandro (57204943006); Serpa-Andrade, Luis (57202498037)","57218294952; 58660195000; 57215834187; 57204943006; 57202498037","Work in Progress: River Water Collection System Using Embedded Systems for the Analysis of Basic Characteristics in Real Time","2024","Lecture Notes in Networks and Systems","695 LNNS","","","661","668","7","0","10.1007/978-981-99-3043-2_53","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174708619&doi=10.1007%2f978-981-99-3043-2_53&partnerID=40&md5=0b133ca90ff1b3e99cfdaf6937b8a046","Due to the importance of the treatment and care of water, there are projects around the world that help to have a better control over the quality of the water that help as a basis for proper treatment. This system is proposed after a literature review with the intention of obtaining data from different water characteristics such as: pH, conductivity, turbulence, temperature, and dissolved oxygen, it is intended to obtain the data for later consultation through a mobile application or PC. This system consists of three stages: the first one consists of data collection through sensors to a microprocessor; the second part involves a LoRa wireless network for data transmission; and the third one in which the data is presented in a mobile application. © 2024, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Embedded systems; Learning; Water treatment","Biochemical oxygen demand; Dissolved oxygen; Learning systems; Mobile computing; Quality control; Real time systems; Water treatment; Basic characteristics; Embedded-system; Learning; Literature reviews; Mobile applications; Mobile PCs; Real- time; River water; Water characteristics; Water collection systems; Embedded systems","","","Conference paper","Final","","Scopus","2-s2.0-85174708619"
